Node,50-51,50-52,51-52,51-55,51-85,52-55,52-85,54-84,56-52,56-57,57-52,57-85,58-59,60-61,62-63,62-65,62-66,63-64,63-66,63-67,64-67,64-68,64-76,65-66,65-69,65-70,66-67,66-70,66-71,66-72,67-68,67-72,68-72,68-73,69-70,69-86,70-71,70-74,71-72,71-73,71-74,71-75,72-73,73-53,73-75,73-81,73-82,74-53,74-75,75-53,77-58,77-59,77-78,77-79,77-81,77-82,77-83,78-57,78-58,78-59,78-80,79-81,79-82,80-50,80-52,80-56,80-57,80-81,80-83,81-82,81-83,82-50,82-52,82-83,83-50,83-51,83-52,83-56,85-55
50,0,0,0,0,0,17.61968687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,0.416292581,0,0,0,0,0,0,0,0,0,0,0,0.312233141,0,0,0,0,0,0,0,21.86305037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.572757696,1.392509062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.968801045
52,1.271169001,0,0,0,0,0,0,0,0,0,0,0,0.953418601,0,0,0,0,0,0,0,66.75985399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.802489698,4.252092002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.065373811
53,9.624689018,0,0,0,0,0,0,0,0,0,0,0,3.952462299,0,0,0,0,0,0,0,8.416286977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,10.0552885,0,0,0,0,0,0,0,0,0,0,0,4.24326076,0,0,0,0,0,0,0,26.13597869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.26873574,1.123330071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.394916903
55,29.57873179,0,0,0,0,2.954030325,8.29,0,0,0,940.915,0,12.1467636,0,0,0,0,0,0,0,25.86505337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,0,0,0,0,0,0,0,7.071898557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.429357123,0.760496583,3.796576302,0,0,0,0,0,0.687266212,0.147647865,0.823716484,4.221546979,4.541795148,9.266810441,4.039840048,9.696070886,4.284675289,0,0,0,0,0
57,0,0,0,0,0,0,0,18.13454642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,1.743003054,2.52001905,2.440700071,0.00354137,2.705439091,1.929384319,0,0.79181854,0,0,0,0,0.718727526,0,0,0,120.9659371,79.75776075,122.2952331,0,1.97279819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032819691,0.029058333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.688679907,0.232726313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.061951777
59,0.28440558,0.411191178,0.39824871,0.000577845,0.441446141,20.83795036,0,8.551886353,0,0,0,0,0.117274676,0,0,0,19.73799609,13.01406335,19.95489714,0,0.321901222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005355185,0.004741444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11237181,0.037973922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010108663
